name,code
Red,#FF0000
Alizarin Crimson,#E32636
Amaranth Red,#F4364C
Apple Blossom,#AA4A44
Auburn Red,#A52A2A
Blood,#770001
Blood Red,#980002
Blood Redand,#880808
Boston University Red,#CC0000
Bordeaux,#7B002C
Bright Red,#FF000D
Brick Red,#8F1402
Burnt Crimson,#65000B
Burnt Orange,#CC5500
Burnt Sienna,#E97451
Burnt Umber,#6E260E
Cadmium Red,#D22B2B
Candy Apple Red,#FF0800
Cardinal Red,#C41E3A
Carmine,#960018
Carmine Red,#FF0038
Castro,#52001F
Cedar Wood Finish,#711A00
Cerise,#DE3163
Cherry,#CF0234
Cherry Red,#F7022A
Chestnut,#954535
Cincinnati Red,#C6011F
Cinnabar,#E34234
Claret,#811331
Cordovan,#814141
Coral Pink,#F88379
Crayola Red,#EE204D
Crimson,#DC143C
Crimson Harvard,#A51C30
Crimson Red,#990000
Dark Midnight Blue,#00A366
Dark Red,#8B0000
Electric Crimson,#FF003F
Ferrari Red,#FF2800
Fire Engine Red,#FE0002
Firebrick,#B22222
Flame Pea,#E35335
Flamingo,#FC8EAC
Folly,#FF004F
Garnet,#9A2A2A
Guardsman Red,#B10000
Harvard Crimson,#C90016
Imperial Red,#ED2939
Knock Out Red,#C81641
Ku Crimson,#E8000D
Lava,#CF1020
Lipstick Red,#C0022F
Lust Red,#E62020
Dried Blood,#4A0100
Mahogany,#C04000
Maroon,#800000
Maroon Flush,#BE013C
Marsala,#986868
Milano Red,#B80F0A
Monza,#C7031E
Neon Red,#FF073A;#FF3131
Orangey Red,#EE4B2B
Oxblood,#4A0404
Pastel Pink,#FFD1DC
Pastel Red,#FAA0A0
Pepper Red,#BB112A
Persian,#CA3433
Persimmon,#EC5800
Pink Red,#D21F3C
Poppy,#AC0019
Puce,#A95C68
Raspberry,#E30B5D
Razzmatazz,#E3256B,#E30B5C
Red Brown,#A52A2A
Red Ochre,#913831
Red Orange,#FF4500
Red Purple,#953553
Red Tape,#B3002F
Red Wine,#B20931
Rich Carmine,#D70040
Rosewood,#65000B
Rosso Corsa,#D40000
Rose Madder,#E32636
Rose Red,#C21E56
Ruby,#CA0147
Ruby Red,#E0115F
Rubine Red,#D10056
Ruddy,#FF0028
Russet,#80461B
Salsa,#770C25
Salmon,#FA8072
Sangria,#5E1914
Scarlet,#FF2400
Scarlett,#950015
Smashing Red, Shiraz,#AD0020
Spanish Red,#E60026
Strawberry,#FB2943
Strong Red,#BD2031
Sunset Orange,#FA5F55
Terra Cotta,#E3735E
Tomato,#FF6347
Torch Red,#FF0040
